Problem ID,Function ID,Instance ID,Algorithm,Best Solution (X),Best Function Value (F)
bbob_f001_i03_d20,1,3,L-BFGS-B,"[-3.798399763440622, 0.20319894905633035, -0.691200413338991, -3.691200213244258, -3.0992009071181394, 2.3168000888061533, 3.2199996262733013, -3.916000484838074, -0.07120007661030199, 2.8224011004677596, 2.330399257025928, 1.3848003653743484, 2.823199726573975, 0.8784008613157841, 3.973599924698784, 0.5711997651676141, 2.9448002192216647, -0.15920064430886954, 2.227999884804759, 0.28399954856476006]",-247.10999999999396
bbob_f001_i03_d20,1,3,BIPOP-CMAES,"[-3.798400018371454, 0.20319998988123217, -0.6912000129455393, -3.6911999985279986, -3.0991999963450163, 2.3168000081866764, 3.2199999899883203, -3.916000048965262, -0.07119997484429007, 2.8224000380118874, 2.3304000472261577, 1.38479996882735, 2.8231999848088773, 0.8784000164648521, 3.973600028672794, 0.5711999600520058, 2.9447999695553264, -0.1591999970653722, 2.22799998319, 0.2840000303917285]",-247.11
bbob_f001_i04_d20,1,4,PSO,"[-0.2671677712100211, 1.4241147956814006, -3.9249049500097466, 3.296796535334119, 2.4192959840552923, 0.15032960696131695, -0.8784762597946042, -0.7008009306882373, 1.4998920363562065, 3.480642197576984, -0.8441229636982529, -2.6415854741177394, -3.9090117735968772, 3.8936076572864513, 0.2841001607016182, 1.2369354664373864, 2.050525964925131, 0.2991001771208815, -0.3638247326003329, 3.9511097252826186]",-152.0399997648934
bbob_f001_i04_d20,1,4,CMAES,"[-0.267199980740223, 1.4240000693433892, -3.9247999867846763, 3.296799977749256, 2.419199928608162, 0.1504000355138686, -0.8784000286329512, -0.7008000546318431, 1.4999999957945152, 3.480799983906177, -0.843999987894402, -2.64159994685659, -3.9088000470443043, 3.8936000043506684, 0.28399997032196556, 1.2368000599767175, 2.0504000265687816, 0.2991999941281307, -0.36400004217406234, 3.951200092195201]",-152.03999999999996
bbob_f001_i04_d20,1,4,DE,"[-0.2863356033150487, 1.4139363279174342, -3.9118640391384973, 3.275722319541731, 2.4482194571359868, 0.15639671433373337, -0.89038739775729, -0.7330789568846601, 1.525236258130509, 3.49284425234979, -0.8583582253936648, -2.6344328782565136, -3.9000050478450614, 3.9109148462704075, 0.24823827855117808, 1.2307216135411263, 2.0711580897802433, 0.2642080847274371, -0.33356723328402416, 4.0092972508228115]",-152.02816798738897
bbob_f001_i04_d20,1,4,L-BFGS-B,"[-0.26720059846575867, 1.4239993498590702, -3.9248007998341823, 3.296799206577391, 2.419200185110859, 0.15039914887839156, -0.8784003054210439, -0.7008001895262954, 1.4999992433257574, 3.480799344491564, -0.8440000352570567, -2.641600737812511, -3.908800800111175, 3.8935989305991, 0.284000181203885, 1.2367992231668126, 2.0504001381317805, 0.2992003224865509, -0.36399951671053044, 3.9512003793155017]",-152.03999999999257
bbob_f001_i04_d20,1,4,BIPOP-CMAES,"[-0.2672000152101359, 1.4239999630429556, -3.9247999673670866, 3.296800002249538, 2.419200018200556, 0.15039996668749206, -0.8783999960618707, -0.7007999576330277, 1.4999999929631245, 3.4808000112876085, -0.8439999850873035, -2.6415999743225607, -3.9087999573595344, 3.89359999552487, 0.28399998275187976, 1.2368000071718193, 2.0504000016081965, 0.2992000273852112, -0.36400005731427043, 3.951199996480145]",-152.04
bbob_f001_i05_d20,1,5,PSO,"[3.6143492881703616, 0.6354650695510189, -1.4213851959759556, -2.152064620081151, 3.296807646300413, -0.10107872380411832, -2.4746105680640915, -1.8156974329162765, 1.3129376474765533, -2.67239252558858, 2.6425953600179533, 1.1193553842840378, -2.5707066848748013, 0.04226778993068408, 2.040250651113609, 0.3141815568681694, -0.6313427337111717, -1.3089290182692268, 0.36090947911959687, -1.155334501784064]",-25.249996460347035
bbob_f001_i05_d20,1,5,CMAES,"[3.6143999615401725, 0.6352000232960018, -1.421600029597378, -2.1528000442720705, 3.296800018615878, -0.10159998142535542, -2.475199994185246, -1.8152000035610505, 1.3128000055779037, -2.672800005894675, 2.6424000538588928, 1.1200000130408245, -2.570399975664042, 0.04239999937314565, 2.040800029836447, 0.3144000492909296, -0.6311999800672252, -1.3079999662356174, 0.3607999758674687, -1.1552000161234384]",-25.249999999999986
bbob_f001_i05_d20,1,5,DE,"[3.625470768294771, 0.6672678569322654, -1.4304506517738194, -2.1316708047014385, 3.3119254976501145, -0.11204580536915501, -2.4968569360079913, -1.8204323943351612, 1.3628814799166666, -2.6838559001087354, 2.625944227139895, 1.1453868026875589, -2.596126974133092, -0.01734607357579917, 2.077066062237423, 0.34269772187081865, -0.6506234744846792, -1.3247309461100927, 0.3695040345886029, -1.1577849839753147]",-25.23685725046654
bbob_f001_i05_d20,1,5,L-BFGS-B,"[3.6143994403879893, 0.6351996215907196, -1.4216001085910783, -2.1527994080184065, 3.296800347871218, -0.1015993191300175, -2.475200052978548, -1.815199786637464, 1.312799916794319, -2.6728001098267233, 2.6424004032128643, 1.1200003176628974, -2.5704004211811773, 0.04240006941471606, 2.0408004791066308, 0.3144008753050727, -0.6311996506071375, -1.307999962402422, 0.3607999808308817, -1.1552001015180955]",-25.249999999996955
bbob_f001_i05_d20,1,5,BIPOP-CMAES,"[3.614399991976491, 0.6351999983187558, -1.4216000086186549, -2.1528000101043228, 3.2967999998075426, -0.10159999612022964, -2.4752000034898884, -1.8151999930638167, 1.3127999941447, -2.67279999206108, 2.6423999978433144, 1.120000009644369, -2.570400005259205, 0.04240001087001801, 2.0407999971455646, 0.3143999771046258, -0.6311999940449006, -1.3080000109653704, 0.36079998249670897, -1.1551999972978946]",-25.25
bbob_f001_i06_d20,1,6,PSO,"[-1.420880211202495, -2.9056707365669956, -0.9453982558903319, 2.3329819814886092, 2.0115877446490438, 0.3301752750234017, -2.5000007059551916, 3.3457419257669114, 0.06493430592794286, -3.0393471436620385, 3.573238426329964, 0.0671858406685116, -3.0344733175227785, -0.37515203341646086, -1.971993633945479, 1.1562089022832278, 0.8079840002408848, 0.6072540293304496, -3.603968862321947, -2.1273122646108935]",-201.719999435415
bbob_f001_i06_d20,1,6,CMAES,"[-1.420800007916991, -2.905600040220678, -0.9455999845760132, 2.332800068298032, 2.0120000504528193, 0.33039993971521486, -2.4999999449270724, 3.3456000466189213, 0.0648000249461056, -3.039199998473494, 3.5736000114663504, 0.0671999961706291, -3.0343999582174126, -0.3751999745525483, -1.9720000099762194, 1.155999972244751, 0.8080000418087607, 0.607199991235845, -3.6040000082335966, -2.1272000108622513]",-201.71999999999997
bbob_f001_i06_d20,1,6,DE,"[-1.4168941586805626, -2.8908720557605028, -0.9389823637849948, 2.3572298276358454, 2.0886460935100475, 0.32038191167841573, -2.472267709624001, 3.360331193836273, 0.10083215678428314, -3.0241571143283696, 3.587485975685646, 0.012224674978983573, -2.9767908089901365, -0.3483479977972255, -1.9570121011461674, 1.129729961345537, 0.7838031026103711, 0.6372440342018155, -3.5836079560145846, -2.140758216551311]",-201.70038404183316
bbob_f001_i06_d20,1,6,L-BFGS-B,"[-1.4207997552049758, -2.9055993845837076, -0.9455993771993436, 2.332799693280745, 2.0120005008734267, 0.33040002872835367, -2.5000000168586936, 3.34560021745482, 0.06479999776224678, -3.0391999525214572, 3.5735999015947684, 0.0671996881361328, -3.034399721203522, -0.37519993821489234, -1.9720001284441728, 1.1560001320962248, 0.8080004186806305, 0.6071998991744657, -3.6040001254426945, -2.127200433610122]",-201.71999999999815
bbob_f001_i06_d20,1,6,BIPOP-CMAES,"[-1.4208000041541768, -2.905600053635611, -0.9456000171986438, 2.332799982649642, 2.0120000044613446, 0.33039997535116383, -2.500000007654855, 3.3455999992945906, 0.06479997784565691, -3.0391999691196303, 3.5735999785115236, 0.06720002760794724, -3.0344000216617184, -0.37519996976517656, -1.971999984015257, 1.1559999773891663, 0.8080000021932983, 0.607199976510968, -3.6039999851925972, -2.1272000518147336]",-201.72
bbob_f001_i07_d20,1,7,PSO,"[-0.0765651336810641, 0.2281638264539656, -0.1194911786995869, 0.019234304500006773, 3.6054840833074246, -0.5008061494842105, 1.0739046012873774, -3.81191577835455, -3.4216728148479785, 3.7516493617794184, -0.5776756481583512, -3.5054612096661297, 0.8633981436850997, -0.5150543069388492, 1.6094846625487238, 3.0457418393700224, 1.3226299804361938, -0.16879237983127204, 1.2942688482885938, 2.7016440535265924]",-999.999995657438
bbob_f001_i07_d20,1,7,CMAES,"[-0.07680014220360132, 0.22799998533567312, -0.12000013798986586, 0.02000004819329071, 3.605599837670429, -0.5007999592293055, 1.0744000397648747, -3.8127999929702434, -3.422399962769533, 3.7519998784918602, -0.5784000054670955, -3.5048000497265037, 0.8639999169931256, -0.5151999468157635, 1.6096000685213143, 3.0455999510596534, 1.3232000051924384, -0.16880004733304332, 1.2944000213929554, 2.7016000500724093]",-999.9999999999999
bbob_f001_i07_d20,1,7,DE,"[-0.10583579584255207, 0.20025514421720902, -0.10044729981362933, 0.03186470004603702, 3.6084404910350347, -0.48803170928031187, 1.0533653236558864, -3.8063763752652955, -3.4049217700784284, 3.7335754889552684, -0.5699311192772432, -3.4834932133045284, 0.8874279469470334, -0.5072374614447746, 1.594526185856982, 3.044704457920478, 1.3125533843165007, -0.172995400560767, 1.3187497685749345, 2.707444884821018]",-999.9944402776099
bbob_f001_i07_d20,1,7,L-BFGS-B,"[-0.07680053395785236, 0.22799967622116898, -0.11999896986612804, 0.020000402345960688, 3.605598370166995, -0.5007993875079713, 1.0744007426436621, -3.8128001919685772, -3.4224000809472197, 3.7520001184297276, -0.5784006307166651, -3.504800900743897, 0.8640010644731727, -0.515199996265188, 1.6095990059614085, 3.045599198511606, 1.3231993648719926, -0.16880039103648348, 1.294399723066441, 2.7015996575330457]",-999.99999999999
bbob_f001_i07_d20,1,7,BIPOP-CMAES,"[-0.07680000703525444, 0.22799995892872907, -0.11999989361901389, 0.019999990700863588, 3.6056000661635554, -0.5008000609426208, 1.0743999139134985, -3.812799974381944, -3.422400042925719, 3.7520000063610452, -0.578400003683753, -3.5047999737380287, 0.8639999899706683, -0.5151999742935454, 1.609599993946251, 3.045599913281213, 1.3232000913420583, -0.1688000238808062, 1.2943999745221815, 2.7015999806892057]",-1000.0
bbob_f001_i08_d20,1,8,PSO,"[2.633120695787682, 2.4275314435541087, 3.873596322962957, -0.8664954899546442, -2.6330543214656297, -1.7060382452834997, 0.614269975752796, 0.030158232592815727, 2.7999093791923784, -3.5327746143951657, 3.853807344979466, -2.2394499161741828, 0.01568060677903208, -3.439400177392403, 0.761109761134024, -1.637221082877475, -0.7279779625226941, -1.735245238804732, 3.016904681626253, 2.6334534236390432]",-42.89999369836741
bbob_f001_i08_d20,1,8,CMAES,"[2.632799986423259, 2.427200030936481, 3.8735999572068067, -0.866399991679768, -2.632800005383416, -1.7055999606954564, 0.6136000182536332, 0.029599959650026264, 2.80000001791457, -3.5312000145156794, 3.8543999930132973, -2.2391999539155387, 0.015199974617557288, -3.439999985834677, 0.7616000344203444, -1.6368000315784617, -0.7279999899878149, -1.7344000138991977, 3.016799959823814, 2.6327999781518425]",-42.899999999999984
bbob_f001_i08_d20,1,8,DE,"[2.6010445282172245, 2.4154101168830038, 3.885061933628627, -0.870279730094231, -2.6362622266372666, -1.703552907971843, 0.5798153334247204, 0.015825372734621274, 2.7979724062160036, -3.5537090055070504, 3.8415344558753404, -2.237016775122913, 0.019696843416495854, -3.454205473989269, 0.7805523999632125, -1.6304009166731817, -0.6869799406090114, -1.7178002712479419, 2.96743451765121, 2.698797703476813]",-42.88730478082432
bbob_f001_i08_d20,1,8,L-BFGS-B,"[2.6328004385757096, 2.4271996357667565, 3.8735990993513485, -0.8664000286933062, -2.6328001092304847, -1.705600575458476, 0.6135996796029364, 0.029600153329773716, 2.7999992362061623, -3.5311992870930644, 3.854399510707672, -2.2392003039667214, 0.015199772852527289, -3.440000498973677, 0.7615995338200007, -1.6368003671100853, -0.7280008978748972, -1.7344002425487415, 3.0167994960323266, 2.63280025758315]",-42.89999999999513
bbob_f001_i08_d20,1,8,BIPOP-CMAES,"[2.632799978257471, 2.4271999996116658, 3.873599975388094, -0.8664000251066067, -2.6327999979558636, -1.7055999858584048, 0.6136000044768252, 0.029599999363335967, 2.7999999992179143, -3.531199986377416, 3.854399987828046, -2.239199986422874, 0.015199985037822338, -3.439999999532731, 0.7616000073872443, -1.6368000098514637, -0.7280000209287913, -1.734400006860847, 3.016800009055059, 2.6328000069976865]",-42.9
bbob_f001_i09_d20,1,9,PSO,"[1.697020432813073, 2.755098635771406, 1.973412792714939, -3.074425182226347, -3.1706862622723557, -1.414508336445463, 2.836811744248708, -2.730230931727746, -3.155312722655585, 2.4164913587798713, 0.8046769563041111, -2.7591999844385913, -0.7318855378498951, 3.45687602096053, 0.5632425379103991, -2.15380265882361, -3.745534443729733, -1.1543970213805492, -1.1352604505496622, 1.1064110392959259]",-101.31999959010004
bbob_f001_i09_d20,1,9,CMAES,"[1.696800030696032, 2.7551999902358713, 1.973599970090218, -3.074399950570199, -3.1704000084812702, -1.4144000015813134, 2.8368000225640744, -2.7303999970210517, -3.1552000453092157, 2.4167999641595337, 0.8048000155416704, -2.7592000323577133, -0.7319999843818401, 3.4567999818669026, 0.5631999912410501, -2.1535999658216127, -3.745599950682977, -1.1543999928720727, -1.1351999460395041, 1.1064000118862634]",-101.31999999999998
bbob_f001_i09_d20,1,9,DE,"[1.6997883513589382, 2.733827227448815, 1.9876815403938726, -3.0963690967057182, -3.1455637841613227, -1.38669221548497, 2.8548601153593367, -2.760578527877874, -3.134172893698965, 2.407582110507484, 0.7975212917278165, -2.744300613482004, -0.7312993743783666, 3.445813753588258, 0.5429373931160519, -2.186612833533453, -3.7789329540894525, -1.126342774012297, -1.1548171956117748, 1.1156474809621097]",-101.3114395401809
bbob_f001_i09_d20,1,9,L-BFGS-B,"[1.6968000481425316, 2.755200409789961, 1.973600744189396, -3.0744001340053804, -3.1703998976056162, -1.4143993154666468, 2.8368009207357905, -2.7304002726983216, -3.1551999326877485, 2.4167999079155384, 0.8048002333513496, -2.7591995857723073, -0.7319993306266181, 3.4567996506168233, 0.5632005198533336, -2.153600406869395, -3.7456001915361488, -1.1544007746857556, -1.1351999912963577, 1.1063994025482065]",-101.31999999999562
bbob_f001_i09_d20,1,9,BIPOP-CMAES,"[1.6967999397544167, 2.7551999993595606, 1.9735999837654756, -3.0743999635002868, -3.170399960505002, -1.4144000068954934, 2.836800001649684, -2.730400026358114, -3.155199999113281, 2.416800000400931, 0.8048000508655592, -2.7592000529819627, -0.7319999868737578, 3.456800006385454, 0.5632000252567757, -2.1535999964395525, -3.745599941253137, -1.1543999878575257, -1.1351999853493038, 1.1063999607545167]",-101.31999999999998
bbob_f001_i10_d20,1,10,PSO,"[0.49440418212999077, -1.9744691035991402, 0.5288298780775679, 3.6636618931654836, -2.2065028091741943, -2.916276971273994, 2.0062916302744895, 0.39216765870621784, -3.9111111025571277, -2.140615587331668, 1.2872913956629985, 3.5871378981581827, 0.0712709600853116, 0.6392633043595669, -1.3056877108710159, 2.084767752544641, 0.7798917081652402, -3.880447797502698, 0.615112121847363, 2.8567478050086668]",3.6500004652550526
bbob_f001_i10_d20,1,10,CMAES,"[0.49439998796746387, -1.9743999944079658, 0.5288000214294675, 3.664000044113072, -2.2063999781244403, -2.9160000148588314, 2.006400022553569, 0.3920000193546356, -3.91120005968281, -2.140799993104379, 1.2872000373333492, 3.587200002288496, 0.07120004846900319, 0.6392000254229568, -1.3056000147037183, 2.084800027775632, 0.7800000206863755, -3.8808000239636717, 0.6151999880127565, 2.8568000101615985]",3.650000000000014
bbob_f001_i10_d20,1,10,DE,"[0.46637732939941084, -1.9552817159664657, 0.5466858564155804, 3.6877367410876802, -2.189373313655713, -2.900535948078409, 2.0020315182763895, 0.4027014711476084, -3.9105069322173946, -2.1375916617717468, 1.3193093532806675, 3.5822358636546294, 0.09222583882855673, 0.6001828862509475, -1.3302430991256338, 2.090988101984398, 0.7512452535153273, -3.9018911027322076, 0.6133968015941449, 2.8667078749743675]",3.6577462762263404
bbob_f001_i10_d20,1,10,L-BFGS-B,"[0.4944012547102872, -1.9743990542258256, 0.5288018503503594, 3.6639999669791123, -2.2064007195154995, -2.9160005138734606, 2.006400508991898, 0.39199973831721335, -3.9111992261110227, -2.1407988672617435, 1.2872015358564437, 3.5872012190025164, 0.07120036535570624, 0.6392015820361772, -1.3056002422975002, 2.0848013182842813, 0.7799999113859075, -3.8808002508011965, 0.6152000541533718, 2.856799927550136]",3.6500000000172417
bbob_f001_i10_d20,1,10,BIPOP-CMAES,"[0.4943999937733516, -1.9743999969878072, 0.5288000024440845, 3.663999997208243, -2.2063999981130493, -2.9160000005953286, 2.0064000026935376, 0.3920000054426718, -3.9111999976565452, -2.1407999980599457, 1.2871999996318113, 3.5871999976538658, 0.07119999494248043, 0.6392000001345319, -1.305600001890876, 2.084799998898582, 0.7800000021049556, -3.8807999950962913, 0.6151999963575173, 2.8568000004957925]",3.65
bbob_f001_i11_d20,1,11,PSO,"[2.997254229553782, -3.8479366262354415, 0.9528889728416502, 0.19515417459990517, 3.558815724313726, -2.7741913799971947, -3.255237758054826, 3.2782541431104226, 0.8959080437527137, 3.161203779653116, -1.4380359956827804, 1.3324365802130926, -3.1608211743454144, 3.0009892045418645, -2.4638486331287757, -2.8490472311187296, -0.39540581678185155, 1.539201200146045, 2.465269187616848, 2.6663712624532865]",220.5300013891535
bbob_f001_i11_d20,1,11,CMAES,"[2.9968000596455457, -3.8480000151392724, 0.9528000551409566, 0.19519990378087027, 3.558400000504374, -2.7743999660150247, -3.2552000090270443, 3.2783999469584977, 0.8959999737874389, 3.1616000210192663, -1.437600014281975, 1.3319999511065923, -3.1607999103665563, 3.000800004548596, -2.4640000189399087, -2.848799919101603, -0.39519997427553033, 1.5392000163259576, 2.4648000259801686, 2.666399969002957]",220.53000000000003
bbob_f001_i11_d20,1,11,DE,"[2.9574012714585054, -3.8681924065739945, 0.9526532342539712, 0.15624306059557985, 3.6001936010324576, -2.7104225202565972, -3.303043582743499, 3.244323123039192, 0.8979718458543006, 3.132534061948615, -1.4447508361630508, 1.3609850986592353, -3.2060626940667944, 3.0175259192785453, -2.4667387744314926, -2.863144638069293, -0.37164824871827207, 1.541418349095459, 2.471511081552319, 2.6641787008480926]",220.5476590262729
bbob_f001_i11_d20,1,11,L-BFGS-B,"[2.9967998899086874, -3.8479995685181447, 0.9528024347663491, 0.19519952155035813, 3.5584004148086823, -2.7743988337322385, -3.2551978619435067, 3.278401639930145, 0.8960015070119463, 3.161600944001126, -1.4375996921160723, 1.3320017332231857, -3.160798967727683, 3.000799823741442, -2.463999002496582, -2.8487994959574094, -0.39519992101998563, 1.5392012556122678, 2.464800601755574, 2.666399158983371]",220.5300000000264
bbob_f001_i11_d20,1,11,BIPOP-CMAES,"[2.9968000285332415, -3.847999926054643, 0.9527999847283148, 0.1951999608691311, 3.5584000088501164, -2.774399977232267, -3.2552000303372206, 3.2784000590127413, 0.8960000515415524, 3.1615999802860575, -1.4375999653589928, 1.3320000066372328, -3.160799927062274, 3.000800005159689, -2.4640000421426023, -2.8487999839006353, -0.39520000452082454, 1.5391999822915785, 2.464799880440719, 2.6664000529996685]",220.53000000000003
bbob_f001_i12_d20,1,12,PSO,"[-3.953603326896441, 3.3063942906899273, 1.0624364510141007, -2.917416240418701, -0.5174713102618845, 3.0303852774552698, -0.1279362269313337, 2.9841895877479967, 1.3794173109616832, -1.9079105374564784, 0.21511248567713823, -1.5219267286383136, -0.720790037627093, -0.9713669949194763, 3.4342909782508695, 3.76529912438755, -2.0167693957550212, 0.9730449373381821, 1.8749642740484136, 0.7775470288406631]",421.29000051126826
bbob_f001_i12_d20,1,12,CMAES,"[-3.9535999754067954, 3.306400021298071, 1.0623999860553335, -2.91760008234261, -0.5176000760400363, 3.0304000173406713, -0.12799991742974282, 2.984000036002791, 1.3792000436925544, -1.9080000580328433, 0.21520004857990394, -1.5216000263012126, -0.7207999426974654, -0.9711999214635121, 3.434399949069789, 3.765599933333995, -2.016800042249585, 0.9728000695252605, 1.8751999258601773, 0.7775998921512537]",421.2900000000001
bbob_f001_i12_d20,1,12,DE,"[-3.934220301978616, 3.346877449558378, 1.0894393630390877, -2.913302098302283, -0.4884729850162407, 2.9967526388065533, -0.07144655704682071, 2.983971162150023, 1.3708964615857586, -1.8715366137085465, 0.1859234101410834, -1.5308587589155562, -0.7024213612046961, -0.9570288044476485, 3.477891418731981, 3.7618800313200147, -1.9854519942116466, 0.9912645068642417, 1.882894293738023, 0.7287564793504854]",421.30649625297366
bbob_f001_i12_d20,1,12,L-BFGS-B,"[-3.953600791034362, 3.3063996196702075, 1.062401319866273, -2.9175997134397074, -0.5175983861754874, 3.030399253476021, -0.12800009366888374, 2.983999361869369, 1.3792012602776393, -1.9080002719978573, 0.2152003271432395, -1.52159849595129, -0.7208010773122168, -0.9712004394596696, 3.434400129099112, 3.765601350713002, -2.0167989906784816, 0.9727993275871041, 1.875201033430135, 0.7776010026934331]",421.29000000001696
bbob_f001_i12_d20,1,12,BIPOP-CMAES,"[-3.953600075335798, 3.3063998786011024, 1.0624000563816733, -2.9176000248425598, -0.5175999913288972, 3.0303999150775582, -0.12800000721287458, 2.9840000872559944, 1.3792000595511749, -1.908000052790011, 0.21520002113868006, -1.5216000833973695, -0.7207999982269537, -0.9712000438746197, 3.43439990492181, 3.7656000227891644, -2.016800010399829, 0.9727998877140027, 1.8751999151429524, 0.7776000117301308]",421.2900000000001
